Authority,Location,Period,Count
E06000005,Shared building,2023-12-01/P1M,27839
E06000005,Shared building,2024-01-01/P1M,32546
E06000005,Shared building,2024-02-01/P1M,25894
E06000005,Shared building,2024-03-01/P1M,24008
E06000005,Home delivery,2023-04-01/P1M,120
E06000005,Home delivery,2023-05-01/P1M,140
E06000005,Home delivery,2023-06-01/P1M,160
E06000005,Home delivery,2023-07-01/P1M,120
E06000005,Home delivery,2023-08-01/P1M,150
E06000005,Home delivery,2023-09-01/P1M,130
E06000005,Home delivery,2023-10-01/P1M,120
E06000005,Home delivery,2023-11-01/P1M,120
E06000005,Home delivery,2023-12-01/P1M,120
E06000005,Home delivery,2024-01-01/P1M,140
E06000005,Home delivery,2024-02-01/P1M,130
E06000005,Home delivery,2024-03-01/P1M,130
E06000015,Shared building,2023-04-01/P1M,19542
E06000015,Shared building,2023-05-01/P1M,21561
E06000015,Shared building,2023-06-01/P1M,22508
E06000015,Shared building,2023-07-01/P1M,21935
E06000015,Shared building,2023-08-01/P1M,24066
E06000015,Shared building,2023-09-01/P1M,20209
E06000015,Shared building,2023-10-01/P1M,20082
E06000015,Shared building,2023-11-01/P1M,22010
E06000015,Shared building,2023-12-01/P1M,16280
E06000015,Shared building,2024-01-01/P1M,18363
E06000015,Shared building,2024-02-01/P1M,19395
E06000015,Shared building,2024-03-01/P1M,18285
E10000007,Shared building,2023-04-01/P1M,670970
E10000007,Shared building,2023-05-01/P1M,65538
E10000007,Shared building,2023-06-01/P1M,67160
E10000007,Shared building,2023-07-01/P1M,73362
E10000007,Shared building,2023-08-01/P1M,79057
E10000007,Shared building,2023-09-01/P1M,73257
E10000007,Shared building,2023-10-01/P1M,74095
E10000007,Shared building,2023-11-01/P1M,74278
E10000007,Shared building,2023-12-01/P1M,60215
E10000007,Shared building,2024-01-01/P1M,72803
E10000007,Shared building,2024-02-01/P1M,74802
E10000007,Shared building,2024-03-01/P1M,73872
E10000007,Library,2023-04-01/P1M,32067
E10000007,Library,2023-05-01/P1M,31375
E10000007,Library,2023-06-01/P1M,32852
E10000007,Library,2023-07-01/P1M,36387
E10000007,Library,2023-08-01/P1M,38424
E10000007,Library,2023-09-01/P1M,34306
E10000007,Library,2023-10-01/P1M,34799
E10000007,Library,2023-11-01/P1M,34572
E10000007,Library,2023-12-01/P1M,27927
E10000007,Library,2024-01-01/P1M,34747
E10000007,Library,2024-02-01/P1M,34721
E10000007,Library,2024-03-01/P1M,34228
E10000008,Shared building,2023-04-01/P1M,79578
E10000008,Shared building,2023-05-01/P1M,83809
E10000008,Shared building,2023-06-01/P1M,86655
E10000008,Shared building,2023-07-01/P1M,122127
E10000008,Shared building,2023-08-01/P1M,138492
E10000008,Shared building,2023-09-01/P1M,139494
E10000008,Shared building,2023-10-01/P1M,145248
E10000008,Shared building,2023-11-01/P1M,145233
E10000008,Shared building,2023-12-01/P1M,112075
